HDI_rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_years_of_schooling_f,Mean_years_of_schooling_m,Estimated_gross_national_income_per_capita_f,Estimated_gross_national_income_per_capita_m,GII_value,GII_rank,maternal_mortality_ratio,adolescent_birth_rate,share_of_seats_parliament,population_above_secondary_education_f,population_above_secondary_education_m,labour_force_participation_rate_f,labour_force_participation_rate_m
1,Norway,0.991,1,0.945,0.953,84.2,80.5,18.6,17.2,12.6,12.5,60153,75731,0.048,5,5,5.6,41.4,96.3,95.1,60.8,67.6
2,Switzerland,0.987,1,0.937,0.949,85.3,81.5,16.1,16.3,13.9,12.9,47938,67490,0.039,1,5,3,29.3,96.4,97.2,62.9,74.1
3,Australia,0.975,2,0.926,0.95,85,81.2,23.3,22.5,12.9,12.8,35323,51857,0.109,23,6,12.9,32.7,90,89.9,59.2,70.5
4,Ireland,0.979,1,0.926,0.946,83.6,79.7,19.7,19.5,12.7,12.1,42771,64916,0.109,23,8,9.7,24.3,90.2,86.3,53,67.3
5,Germany,0.967,2,0.919,0.951,83.5,78.9,16.9,17,13.6,14.5,37689,54843,0.072,14,6,6.5,31.5,96.2,96.8,55,66.2
6,Iceland,0.966,2,0.92,0.952,84.4,81.5,20.5,18.2,12.3,12.7,38004,53562,0.062,9,3,6.8,38.1,100,100,72.8,81.8
7,Hong Kong. China (SAR),0.965,2,0.916,0.949,87.1,81.2,16.3,16.4,11.6,12.5,43813,75577,..,..,..,2.7,..,75.7,81.8,54,68.1
7,Sweden,0.992,1,0.927,0.934,84.3,80.9,18.4,16.9,12.5,12.3,41743,53777,0.044,3,4,5.2,43.6,88.4,88.7,60.8,67.4
9,Singapore,0.982,1,0.922,0.939,85.2,81.1,16.4,16,11,12.1,69508,95809,0.067,12,10,3.7,23,76.1,82.9,60.5,76.8
10,Netherlands,0.966,2,0.913,0.944,83.7,80.3,18.3,17.8,11.9,12.5,38767,57123,0.044,3,7,4,35.6,86.4,90.4,58,69.2
11,Denmark,0.98,1,0.919,0.938,82.8,79,19.8,18.4,12.7,12.4,40293,55624,0.04,2,6,4.1,37.4,90.1,91.3,59.2,67.2
12,Canada,0.986,1,0.916,0.93,84.4,80.7,16.9,16,13.3,12.9,34928,52070,0.092,20,7,9.4,30.1,100,100,60.7,69.8
13,United States,0.992,1,0.919,0.926,81.8,77.3,17.2,15.7,13.4,13.3,43899,66208,0.189,41,14,18.8,19.7,95.5,95.2,55.7,68.3
14,United Kingdom,0.96,2,0.903,0.941,83.4,79.9,17.9,17,12.8,13.5,28043,50485,0.116,25,9,12.5,28.5,82.4,85.2,56.8,68.1
