Year,State_Name,High_School_Graduation,Income_Inequality_Gini_Index,Violent_Crime,
2015,Alabama,80,0.476,430.8,
2015,Alaska,71.8,0.418,640.4,
2015,Arizona,75.1,0.468,416.5,
2015,Arkansas,84.9,0.471,460.3,
2015,California,80.4,0.489,402.1,
2015,Colorado,76.9,0.458,308,
2015,Connecticut,85.5,0.501,262.5,
2015,Delaware,80.4,0.449,491.4,
2015,Florida,75.6,0.483,470.4,
2015,Georgia,71.7,0.48,365.7,
2015,Hawaii,82.4,0.433,251.6,
2015,Idaho,,0.454,217,
2015,Illinois,83.2,0.477,380.2,
2015,Indiana,87,0.446,357.4,
2015,Iowa,89.7,0.443,271.4,
2015,Kansas,85.7,0.46,339.9,
2015,Kentucky,86.1,0.47,209.8,
2015,Louisiana,73.5,0.49,518.5,
2015,Maine,86.4,0.459,129.3,
2015,Maryland,85,0.449,473.8,
2015,Massachusetts,85,0.486,413.4,
2015,Michigan,77,0.46,449.9,
2015,Minnesota,79.8,0.454,234.4,
2015,Mississippi,75.5,0.476,274.6,
2015,Missouri,85.7,0.463,433.4,
2015,Montana,84.4,0.454,252.9,
2015,Nebraska,88.5,0.435,262.1,
2015,Nevada,70.7,0.443,603,
2015,New Hampshire,87.3,0.441,215.3,
2015,New Jersey,87.5,0.476,288.5,
2015,New Mexico,70.3,0.477,613,
2015,New York,76.8,0.511,393.7,
2015,North Carolina,82.5,0.475,342.2,
2015,North Dakota,87.5,0.466,270.1,
2015,Ohio,82.2,0.464,286.2,
2015,Oklahoma,84.8,0.466,441.2,
2015,Oregon,68.7,0.462,254,
2015,Pennsylvania,85.5,0.469,335.4,
2015,Rhode Island,79.7,0.483,257.2,
2015,South Carolina,77.6,0.469,508.5,
2015,South Dakota,82.7,0.447,316.5,
2015,Tennessee,86.3,0.481,590.6,
2015,Texas,88,0.483,408.3,
2015,Utah,83,0.428,224,
2015,Vermont,86.6,0.441,121.1,
2015,Virginia,84.5,0.466,196.2,
2015,Washington,76.4,0.454,289.1,
2015,West Virginia,81.4,0.455,300.3,
2015,Wisconsin,88,0.44,277.9,
2015,Wyoming,77,0.427,205.1,
2016,Alabama,89.3,0.432,730,
2016,Alaska,75.6,0.481,472,
2016,Arizona,77.4,0.477,521,
2016,Arkansas,84.9,0.47,410,
2016,California,82,0.488,426,
2016,Colorado,77.3,0.458,321,
2016,Connecticut,87.2,0.492,219,
2016,Delaware,85.6,0.452,499,
2016,Florida,77.9,0.487,462,
2016,Georgia,78.8,0.48,378,
2016,Hawaii,81.6,0.435,293,
2016,Idaho,78.9,0.439,286,
2016,Illinois,85.6,0.453,216,
2016,Indiana,87.1,0.482,384,
2016,Iowa,90.8,0.452,388,
2016,Kansas,85.7,0.46,390,
2016,Kentucky,88,0.478,219,
2016,Louisiana,77.5,0.491,540,
2016,Maine,87.5,0.485,391,
2016,Maryland,87,0.452,457,
2016,Massachusetts,87.3,0.452,130,
