HDI rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_ years_of_schooling_f,Mean_ years_of_schooling_m,Estimated_gross national_income_per_capita_f,Estimated_gross national_income_per_capita_m
1,Norway,0.991,1,0.945,0.953,84.2,80.5,18.6,17.2,12.6,12.5,60.153,75.731
2,Switzerland,0.987,1,0.937,0.949,85.3,81.5,16.1,16.3,13.9,12.9,47.938,67.490
3,Australia,0.975,2,0.926,0.950,85.0,81.2,23.3,22.5,12.9,12.8,35.323,51.857
4,Ireland,0.979,1,0.926,0.946,83.6,79.7,19.7,19.5,12.7,12.1,42.771,64.916
5,Germany,0.967,2,0.919,0.951,83.5,78.9,16.9,17.0,13.6,14.5,37.689,54.843
6,Iceland,0.966,2,0.920,0.952,84.4,81.5,20.5,18.2,12.3,12.7,38.004,53.562
7,Hong Kong. China (SAR),0.965,2,0.916,0.949,87.1,81.2,16.3,16.4,11.6,12.5,43.813,75.577
7,Sweden,0.992,1,0.927,0.934,84.3,80.9,18.4,16.9,12.5,12.3,41.743,53.777
9,Singapore,0.982,1,0.922,0.939,85.2,81.1,16.4,16.0,11.0,12.1,69.508,95.809
10,Netherlands,0.966,2,0.913,0.944,83.7,80.3,18.3,17.8,11.9,12.5,38.767,57.123
11,Denmark,0.980,1,0.919,0.938,82.8,79.0,19.8,18.4,12.7,12.4,40.293,55.624
12,Canada,0.986,1,0.916,0.930,84.4,80.7,16.9,16.0,13.3,12.9,34.928,52.070
13,United States,0.992,1,0.919,0.926,81.8,77.3,17.2,15.7,13.4,13.3,43.899,66.208
14,United Kingdom,0.960,2,0.903,0.941,83.4,79.9,17.9,17.0,12.8,13.5,28.043,50.485
15,Finland,1.000,1,0.917,0.917,84.3,78.7,18.4,16.9,12.6,12.3,34.504,47.691
16,New Zealand,0.966,2,0.900,0.932,83.7,80.4,19.7,18.0,12.7,12.5,25.872,42.339
17,Belgium,0.971,2,0.901,0.928,83.6,78.9,20.8,18.8,11.6,11.9,33.260,51.302
17,Liechtenstein,..,..,..,..,..,..,13.4,16.1,..,..,..,..
19,Japan,0.975,1,0.894,0.917,87.1,80.7,15.2,15.3,12.9,12.5,27.209,51.326
20,Austria,0.971,2,0.893,0.920,84.1,79.4,16.4,15.8,11.8,12.6,35.626,55.591
21,Luxembourg,0.969,2,0.888,0.916,84.1,79.8,14.1,13.9,11.7,12.4,51.154,78.737
22,Israel,0.975,2,0.890,0.913,84.3,80.9,16.5,15.3,13.0,13.0,24.620,40.910
22,Korea (Republic of),0.932,3,0.866,0.929,85.3,79.2,15.9,17.1,11.4,12.9,22.572,49.297
24,France,0.987,1,0.894,0.906,85.6,79.8,16.8,16.0,11.3,11.8,32.518,46.218
25,Slovenia,1.003,1,0.898,0.895,83.9,78.3,18.0,16.5,12.2,12.3,26.898,34.341
26,Spain,0.979,1,0.879,0.898,86.0,80.5,18.2,17.5,9.7,10.0,26.954,41.850
27,Czechia,0.986,1,0.881,0.894,81.7,76.0,17.6,16.1,12.6,13.1,23.224,38.206
28,Italy,0.967,2,0.863,0.893,85.3,80.9,16.6,15.9,10.0,10.4,25.767,45.326
29,Malta,0.960,2,0.858,0.893,82.6,79.4,16.4,15.4,11.0,11.6,24.255,44.446
30,Estonia,1.019,1,0.876,0.860,82.0,73.0,16.9,15.3,13.0,12.2,21.896,37.043
31,Greece,0.964,2,0.853,0.885,83.9,78.9,17.0,17.5,10.5,11.0,19.658,29.796
32,Cyprus,0.984,1,0.861,0.875,82.8,78.5,15.0,14.2,12.0,12.2,26.580,36.543
33,Poland,1.006,1,0.866,0.861,81.6,73.9,17.3,15.6,12.3,12.3,20.367,32.343
34,United Arab Emirates,0.968,2,0.832,0.859,78.9,76.7,14.3,13.4,11.9,9.7,24.973,84.130
35,Andorra,..,..,..,..,..,..,..,..,10.1,10.2,..,..
35,Lithuania,1.026,2,0.868,0.846,80.0,69.4,16.6,15.7,13.0,13.0,24.366,32.934
37,Qatar,1.031,2,0.870,0.843,80.0,77.6,14.8,12.0,10.8,9.5,59.164,135.961
38,Slovakia,0.991,1,0.850,0.858,80.4,73.4,15.5,14.4,12.3,12.6,22.600,36.726
39,Brunei Darussalam,0.990,1,0.846,0.854,79.1,75.8,14.8,14.1,9.0,9.1,63.939,88.204
39,Saudi Arabia,0.877,5,0.782,0.892,76.5,73.4,16.0,17.8,8.8,9.9,17.422,73.945
41,Latvia,1.030,2,0.858,0.834,79.4,69.7,16.5,15.1,13.2,12.5,20.822,29.924
41,Portugal,0.983,1,0.839,0.853,84.2,78.4,16.2,16.4,9.2,9.2,23.095,32.013
43,Bahrain,0.931,3,0.805,0.865,78.1,76.2,16.6,15.6,9.3,9.5,18.774,55.130
44,Chile,0.961,2,0.823,0.856,82.1,77.2,16.7,16.2,10.2,10.5,15.137,28.809
45,Hungary,0.985,1,0.830,0.843,79.4,72.5,15.4,14.8,11.7,12.1,19.931,31.413
46,Croatia,0.991,1,0.828,0.835,81.0,74.5,15.7,14.3,11.2,11.7,17.507,27.164
47,Argentina,0.997,1,0.816,0.819,80.4,73.0,18.7,16.2,10.1,9.7,12.395,24.789
48,Oman,0.942,3,0.781,0.829,79.7,75.6,14.7,13.4,10.4,9.2,11.246,49.282
49,Russian Federation,1.019,1,0.823,0.808,76.8,65.6,15.9,15.2,12.0,12.1,19.510,29.671
50,Montenegro,0.956,2,0.794,0.831,79.6,74.9,15.2,14.7,10.7,12.0,12.967,20.692
51,Bulgaria,0.990,1,0.808,0.816,78.4,71.5,15.0,14.6,11.9,11.8,14.777,22.930
52,Romania,0.985,1,0.804,0.817,79.0,72.1,14.6,13.9,10.6,11.3,18.217,27.358
53,Belarus,1.020,1,0.814,0.799,78.5,67.5,15.9,15.1,12.2,12.4,13.479,19.592
54,Bahamas,..,..,..,..,78.8,72.7,..,..,11.5,10.5,22.156,31.397
55,Uruguay,1.014,1,0.807,0.796,81.0,74.0,16.9,15.0,9.0,8.4,15.282,24.905
56,Kuwait,0.990,1,0.791,0.799,76.1,73.9,14.3,12.9,8.0,6.9,39.570,93.476
57,Malaysia,0.976,1,0.791,0.810,77.9,73.3,14.1,13.3,10.0,10.3,20.004,31.826
58,Barbados,1.015,1,0.805,0.792,78.4,73.6,16.7,13.9,10.6,10.4,13.509,18.384
58,Kazakhstan,1.007,1,0.801,0.795,74.8,65.3,15.5,14.8,11.8,11.7,16.814,28.815
60,Iran (Islamic Republic of),0.871,5,0.726,0.834,77.3,75.1,14.6,15.1,9.7,9.9,6.094,32.017
60,Palau,..,..,..,..,..,..,17.8,16.5,..,..,..,..
62,Seychelles,..,..,..,..,78.6,69.5,15.3,14.3,..,..,..,..
63,Costa Rica,0.974,2,0.779,0.800,82.4,77.7,15.8,14.9,8.8,8.5,10.419,18.851
64,Turkey,0.922,4,0.755,0.819,79.2,72.8,14.7,15.7,7.1,8.8,15.576,34.313
65,Mauritius,0.968,2,0.773,0.799,78.4,71.4,15.5,14.6,9.1,9.5,12.558,27.986
66,Panama,0.988,1,0.782,0.791,81.3,75.3,13.3,12.1,10.4,9.9,13.229,25.102
67,Serbia,0.976,1,0.777,0.796,78.2,72.5,15.1,14.2,10.7,11.6,10.672,15.474
68,Albania,0.970,2,0.772,0.796,80.6,76.5,15.0,14.4,9.8,10.2,9.702,14.028
69,Trinidad and Tobago,1.013,1,0.794,0.784,74.4,67.4,14.4,12.5,11.0,10.8,22.008,35.435
70,Antigua and Barbuda,..,..,..,..,78.9,74.0,13.9,12.6,..,..,..,..
70,Georgia,0.975,1,0.766,0.786,77.6,69.2,15.3,14.8,12.8,12.8,6.177,12.481
72,Saint Kitts and Nevis,..,..,..,..,..,..,14.6,14.3,..,..,..,..
